ID,Activity ID,Activity Name,Project ID,Project Name,Activity type,Parent WBS ID,Resources,Resource IDs,Primary Resource,Schedule % Complete,Activity Status,Planned Start,Actual Start,Planned Finish,Actual Finish,Predecessor Details,Predecessors,Successor Details,Successors,Project Week Planned Start,Project Week Actual Start,Project Week Planned Finish,Project Week Actual Finish,Project Month Planned Start,Project Month Actual Start,Project Month Planned Finish,Project Month Actual Finish,Activity nth Percentile Rank by Start Date,Total Float,Full Path,In Degree Original,Out Degree Original,Betweeness Centrality Original,Forward Reach Original,Reverse Reach Original,Duration Original,Critical Path Index Original,Page Rank Original,In Degree Normalized,Out Degree Normalized,Betweeness Centrality Normalized,Forward Reach Normalized,Reverse Reach Normalized,Duration Normalized,Critical Path Index Normalized,Page Rank Normalized
1.3.1.5-2,MWS03.1020,"Mobilisation of the Land based cranes to Site",7112,"CCGTD1_IPS",TT_Task,"58321",-,-,-,100,TK_Complete,01/03/2018,19/03/2018,08/03/2018,23/03/2018,"MWS01.1010 FS,A1010 FS","MWS01.1010,A1010","","",135,174,136,175,31,40,31,40,21,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;Crane Mobilization",2,0,0.0,0.0,0.0004069176,7,1.0,0.0001513456,0.0136986301,0.0,0.0,0.0,0.0012870013,0.0156950673,1.0,0.0287261535
1.3.2,58312,"Procurement",7112,"CCGTD1_IPS",WBS,"58236",,,,100,Complete,01/02/2018,06/11/2017,06/04/2020,28/03/2020,,,,,131,155,244,280,30,36,57,65,,,"CCGT D1_Integrated Programme Schedule;M&E"
1.3.2.1,58319,"CLP Deliverables",7112,"CCGTD1_IPS",WBS,"58312",,,,100,Complete,01/03/2018,12/12/2017,06/04/2020,28/03/2020,,,,,135,160,244,280,31,37,57,65,,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement"
1.3.2.1-1,SI1BBA4-10,"Equipment Delivery by Siemens - MV Switchgear BBA",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,30/11/2019,10/03/2019,30/11/2019,10/03/2019,"A1010 FS","A1010","10BBE10 FS","10BBE10",226,225,226,225,52,52,52,52,82,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,1,0.0000000414,0.0085452696,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0030769231,0.0000625,0.0219321149,0.0006435006,0.0,1.0,0.0
1.3.2.1-2,SI1BFA4-10,"Equipment Delivery by Siemens - LV/DC Switchgear BFA",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,30/11/2019,09/04/2019,30/11/2019,09/04/2019,"A1010 FS","A1010","ECS19.1210 FS,10BT10 FS","ECS19.1210,10BT10",226,229,226,229,52,53,52,53,82,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,2,0.0000003312,0.0056968464,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0061538462,0.0005,0.0146214099,0.0006435006,0.0,1.0,0.0
1.3.2.1-3,SI1UBA4G25,"Equipment Delivery by Siemens - Cabinets for I&C 10UBA Building",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,28/03/2020,20/02/2019,28/03/2020,20/02/2019,"A1010 FS","A1010","","",243,222,243,222,56,51,56,51,89,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,0,0.0,0.0,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0,0.0,0.0,0.0006435006,0.0,1.0,0.0
1.3.2.1-4,SI1SGJ4-25,"Equipment Delivery by Siemens - Econopac fire Protection System CYE/ SGJ",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,30/11/2019,07/03/2019,30/11/2019,07/03/2019,"A1010 FS","A1010","10SGJ-02-10 FS,FSS22.1140 FS","10SGJ-02-10,FSS22.1140",226,224,226,224,52,52,52,52,82,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,2,0.0000000311,0.0036622584,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0061538462,0.000046875,0.0093994778,0.0006435006,0.0,1.0,0.0
1.3.2.1-5,SI1MA-4-55,"Equipment Delivery by Siemens - ST MA- (LP-ROTOR, INNERCASING)",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,26/04/2018,28/03/2018,26/04/2018,28/03/2018,"A1010 FS","A1010","10MA-1150 FS,10MAA-1000 FS,10MA-1140 FS","10MA-1150,10MAA-1000,10MA-1140",143,175,143,175,33,41,33,41,26,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,3,0.0000001242,0.0677517803,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0092307692,0.0001875,0.1738903394,0.0006435006,0.0,1.0,0.0
1.3.2.1-6,SI1MA-4-25,"Equipment Delivery by Siemens - STEAM TURBINE MA- (HP/IP) (incl. FCA)",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,26/04/2018,28/03/2018,26/04/2018,28/03/2018,"A1010 FS,SP1MA-3-80 FS","A1010,SP1MA-3-80","10MAA-1000 FS,10MA-1150 FS,10MA-1140 FS","10MAA-1000,10MA-1150,10MA-1140",143,175,143,175,33,41,33,41,26,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",2,3,0.0000066246,0.0677517803,0.0004069176,0,1.0,0.0000812387,0.0136986301,0.0092307692,0.01,0.1738903394,0.0012870013,0.0,1.0,0.0
1.3.2.1-7,SP1MA-3-80,"Equipment Delivery by Siemens - STEAM TURBINE MA- (HP/IP) EX WORKS",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,19/03/2018,12/12/2017,19/03/2018,12/12/2017,"A1010 FS","A1010","KD_B06 FS,SI1MA-4-25 FS,Sub-GTST-180 FS","KD_B06,SI1MA-4-25,Sub-GTST-180",137,160,137,160,32,37,32,37,22,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,3,0.0000000414,0.100508647,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0092307692,0.0000625,0.2579634465,0.0006435006,0.0,1.0,0.0
1.3.2.1-8,SI1MA-4-45,"Equipment Delivery by Siemens - ST MA- (LP OUTER CASING)",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,26/04/2018,28/03/2018,26/04/2018,28/03/2018,"A1010 FS","A1010","10MAN1000 FS,10MAA-1000 FS,10MA-1140 FS,10MA-1150 FS","10MAN1000,10MAA-1000,10MA-1140,10MA-1150",143,175,143,175,33,41,33,41,26,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,4,0.000000207,0.0677517803,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0123076923,0.0003125,0.1738903394,0.0006435006,0.0,1.0,0.0
1.3.2.1-9,SI1MAW4-40,"Equipment Delivery by Siemens - ST GLAND STEAM CONDENSER MAW",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,26/04/2018,28/03/2018,26/04/2018,28/03/2018,"A1010 FS","A1010","10MAW10 FS","10MAW10",143,175,143,175,33,41,33,41,26,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,1,0.0000000138,0.006103764,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0030769231,0.0000208333,0.0156657963,0.0006435006,0.0,1.0,0.0
1.3.2.1-10,SI0XKA4-25,"Equipment Delivery by Siemens - EMERGENCY DIESEL GENERATOR SET XKA",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,30/11/2019,22/07/2019,30/11/2019,22/07/2019,"A1010 FS","A1010","00XKA10 FS","00XKA10",226,244,226,244,52,57,52,57,82,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,1,0.0000000414,0.0036622584,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0030769231,0.0000625,0.0093994778,0.0006435006,0.0,1.0,0.0
1.3.2.1-11,EDS.1000,"Equipment Delivery by Siemens - Lighting Fixture",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,30/11/2019,31/05/2019,30/11/2019,31/05/2019,"A1010 FS","A1010","10BZL-01-10 FS,00BZL-02-10 FS,10BZL-02-10 FS,00BZL-01-10 FS,10BZL-03-10 FS,00BZL-03-10 FS,A2330 FS","10BZL-01-10,00BZL-02-10,10BZL-02-10,00BZL-01-10,10BZL-03-10,00BZL-03-10,A2330",226,237,226,237,52,55,52,55,82,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,7,0.0000001932,0.007121058,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0215384615,0.0002916667,0.0182767624,0.0006435006,0.0,1.0,0.0
1.3.2.1-12,SI1MKC4-25,"Equipment Delivery by Siemens - SEE TRANSFORMER MKC / SFC TRANSFORMER MBJ",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,26/04/2018,02/05/2018,26/04/2018,02/05/2018,"A1010 FS","A1010","ECS21.1010 FS","ECS21.1010",143,180,143,180,33,42,33,42,26,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,1,0.0,0.0075279756,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0030769231,0.0,0.0193211488,0.0006435006,0.0,1.0,0.0
1.3.2.1-13,SI-CYA4-25,"Equipment Delivery by Siemens - TELECOMMUNICATION CYA",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,30/11/2019,16/04/2019,30/11/2019,16/04/2019,"A1010 FS","A1010","10CY10 FS,CP-CYP7A25 FS,00CY10 FS","10CY10,CP-CYP7A25,00CY10",226,230,226,230,52,53,52,53,82,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,3,0.0000002208,0.0052899288,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0092307692,0.0003333333,0.0135770235,0.0006435006,0.0,1.0,0.0
1.3.2.1-14,EDS.1010,"Equipment Delivery by Siemens - Batteries, Battery Charger, Converter & Inverter and UPS System",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,26/04/2018,28/03/2018,26/04/2018,28/03/2018,"A1010 FS","A1010","ECS19.1210 FS","ECS19.1210",143,175,143,175,33,41,33,41,26,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,1,0.0000003105,0.0054933876,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0030769231,0.00046875,0.0140992167,0.0006435006,0.0,1.0,0.0
1.3.2.1-15,EDS.1020,"Equipment Delivery by Siemens - Filter House System",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,30/11/2019,20/04/2019,30/11/2019,20/04/2019,"A1010 FS","A1010","10MBL1040 FS","10MBL1040",226,231,226,231,52,53,52,53,82,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,1,0.0000000828,0.0024415056,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0030769231,0.000125,0.0062663185,0.0006435006,0.0,1.0,0.0
1.3.2.1-16,SI1PAH4-25,"Equipment Delivery by Siemens - Condenser Tube Cleaning System PAH/PCH",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,01/03/2018,17/01/2018,01/03/2018,17/01/2018,"A1010 FS","A1010","10PAH10 FS","10PAH10",135,165,135,165,31,38,31,38,21,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,1,0.0,0.0042726348,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0030769231,0.0,0.0109660574,0.0006435006,0.0,1.0,0.0
1.3.2.1-17,EDS.1030,"Equipment Delivery by Siemens - Cathodic Corrosion Protection System",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,30/11/2019,19/09/2019,30/11/2019,19/09/2019,"A1010 FS","A1010","10PUR10 FS,00UPR10 FS","10PUR10,00UPR10",226,252,226,252,52,59,52,59,83,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,2,0.0,0.0052899288,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0061538462,0.0,0.0135770235,0.0006435006,0.0,1.0,0.0
1.3.2.1-18,EDS.1040,"Equipment Delivery by Siemens - Central Control Room Furniture and Equipment",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,30/11/2019,15/03/2019,30/11/2019,15/03/2019,"A1010 FS","A1010","00CR20 FS,00CR80 FS,00CR90 FS,00CR50 FS,00CR60 FS,00CR10 FS,00CR100 FS,00CR40 FS,00CR70 FS","00CR20,00CR80,00CR90,00CR50,00CR60,00CR10,00CR100,00CR40,00CR70",226,226,226,226,52,52,52,52,83,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,9,0.0000001339,0.0067141404,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0276923077,0.0002020833,0.017232376,0.0006435006,0.0,1.0,0.0
1.3.2.1-19,EDS.1050,"Equipment Delivery by Siemens - Continuous Emission Monitoring System Equipment",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,30/11/2019,20/05/2019,30/11/2019,20/05/2019,"A1010 FS","A1010","10CFE10 FS","10CFE10",226,235,226,235,52,54,52,54,83,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,1,0.0000000621,0.004069176,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0030769231,0.00009375,0.0104438642,0.0006435006,0.0,1.0,0.0
1.3.2.1-20,EDS.1060,"Equipment Delivery by Siemens - Electrical, Control & Instrumentation (for Gas Turbine & Auxiliaries)",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,30/11/2019,22/03/2019,30/11/2019,22/03/2019,"A1010 FS","A1010","10MBP50 FS,10MBA18-150 FS,10MBA1180 FS,10MBA5x50 FS,10MBX2x50 FS,10MBA1350 FS,10MBU50 FS,10MBV1050 FS,10MBL1060 FS,10MBA4x50 FS","10MBP50,10MBA18-150,10MBA1180,10MBA5x50,10MBX2x50,10MBA1350,10MBU50,10MBV1050,10MBL1060,10MBA4x50",226,227,226,227,52,52,52,52,83,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,10,0.0000007504,0.0120040692,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0307692308,0.0011328125,0.0308093995,0.0006435006,0.0,1.0,0.0
1.3.2.1-21,EDS.1070,"Equipment Delivery by Siemens - Electrical, Control & Instrumentation (for HRSG)",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,30/11/2019,15/05/2019,30/11/2019,15/05/2019,"A1010 FS","A1010","ECS20.1050 SS,10HAD80-50 FS,10HAD50-50 FS","ECS20.1050,10HAD80-50,10HAD50-50",226,234,226,234,52,54,52,54,83,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,3,0.0000000659,0.0036622584,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0092307692,0.0000994792,0.0093994778,0.0006435006,0.0,1.0,0.0
1.3.2.1-22,EDS.1080,"Equipment Delivery by Siemens - Electrical, Control & Instrumentation (for Generator Steam Turbine)",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,30/11/2019,13/04/2019,30/11/2019,13/04/2019,"A1010 FS","A1010","10MKF50 SF,10MBV1050 FS,10MA-1660 FS,10MAL50 FS,10MAJ50 FS,10MBP50 FS,10MKQ50 FS,10MAN1060 FS,10MBA5x50 FS,10MAV50 FS,10MKG50 SS,10MBA18-150 FS,10MAL50 SS,10MKG50 FS,10MBH50 FS,10MKA1095 FS,10MKF50 FS,10MBA4x50 FS,10MBU50 FS,10MKW50 FS,10MA1450 FS,10MKF50 SS,10MBX2x50 FS,10MAJ50 SS","10MKF50,10MBV1050,10MA-1660,10MAL50,10MAJ50,10MBP50,10MKQ50,10MAN1060,10MBA5x50,10MAV50,10MKG50,10MBA18-150,10MAL50,10MKG50,10MBH50,10MKA1095,10MKF50,10MBA4x50,10MBU50,10MKW50,10MA1450,10MKF50,10MBX2x50,10MAJ50",226,230,226,230,52,53,52,53,83,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,19,0.0000010095,0.0211597152,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0584615385,0.0015238715,0.054308094,0.0006435006,0.0,1.0,0.0
1.3.2.1-23,EDS.1090,"Equipment Delivery by Siemens - Electrical, Control & Instrumentation (for BOP)",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,30/11/2019,24/04/2019,30/11/2019,24/04/2019,"A1010 FS","A1010","00EG-01-50 FS,00SCA140 FS,10MKQ50 FS,10PCB50 FS,00PUN40 FS,10LDK-50 FS,10PAH50 FS,10QCC50 FS,GKB40 FS,10GHC40 FS,00EG-02-40 FS,10QCD50 FS,00PUS100 FS,10PGB1050 FS,10PAB-01-50 FS,00STG50 FS,00SCA50 FS,00GHD-140 FS,10EK40 FS,10QU50 FS,10PAB-02-50 FS","00EG-01-50,00SCA140,10MKQ50,10PCB50,00PUN40,10LDK-50,10PAH50,10QCC50,GKB40,10GHC40,00EG-02-40,10QCD50,00PUS100,10PGB1050,10PAB-01-50,00STG50,00SCA50,00GHD-140,10EK40,10QU50,10PAB-02-50",226,231,226,231,52,54,52,54,83,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,21,0.0000005607,0.0201424212,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0646153846,0.0008463542,0.0516971279,0.0006435006,0.0,1.0,0.0
1.3.2.1-24,EDKS.1000,"Equipment Purchasing - Switchboard of fuel oil system",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,30/11/2019,08/06/2019,30/11/2019,08/06/2019,"A1010 FS","A1010","00EG-02-40 FS","00EG-02-40",226,238,226,238,52,55,52,55,83,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,1,0.0000000155,0.0026449644,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0030769231,0.0000234375,0.0067885117,0.0006435006,0.0,1.0,0.0
1.3.2.1-25,EDKS.1010,"Equipment Purchasing - Switchboard of reserved feed water system",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,30/11/2019,08/06/2019,30/11/2019,08/06/2019,"A1010 FS","A1010","","",226,238,226,238,52,55,52,55,83,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,0,0.0,0.0,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0,0.0,0.0,0.0006435006,0.0,1.0,0.0
1.3.2.1-26,SI1PAA4-50,"Equipment Delivery UMC Crane",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,26/04/2018,01/01/2018,26/04/2018,01/01/2018,"A1010 FS","A1010","KD_C04 FS","KD_C04",143,163,143,163,33,38,33,38,26,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,1,0.0,0.1084435402,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0030769231,0.0,0.2783289817,0.0006435006,0.0,1.0,0.0
1.3.2.1-27,SI0ACA4-55,"Equip Delivery - Feedwater Pumps LAC",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,30/11/2019,15/02/2019,30/11/2019,15/02/2019,"A1010 FS","A1010","10LAC10 FS","10LAC10",226,222,226,222,52,51,52,51,83,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,1,0.0000000138,0.0095625636,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0030769231,0.0000208333,0.0245430809,0.0006435006,0.0,1.0,0.0
1.3.2.1-28,P1010,"ST LP Outer Casing on-site",7112,"CCGTD1_IPS",TT_FinMile,"58319",-,-,-,100,TK_Complete,26/04/2018,02/04/2018,26/04/2018,02/04/2018,"A1010 FS","A1010","10MAC-1010 FS","10MAC-1010",143,176,143,176,33,41,33,41,26,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,1,0.0000027327,0.0549338759,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0030769231,0.004125,0.1409921671,0.0006435006,0.0,1.0,0.0
1.3.2.1-29,SI1MKA4-25,"Equipment Delivery by Siemens - Generator MK",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,26/04/2018,28/03/2018,26/04/2018,28/03/2018,"A1010 FS","A1010","10MKQ10 FS,10MKA1000 FS,10MKW10 FS,10MKA1010 FS,10MKG10 FS,10MKA1070 FS,10MBA1100 FS","10MKQ10,10MKA1000,10MKW10,10MKA1010,10MKG10,10MKA1070,10MBA1100",143,175,143,175,33,41,33,41,26,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,7,0.0000012111,0.0282807731,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0215384615,0.001828125,0.0725848564,0.0006435006,0.0,1.0,0.0
1.3.2.1-30,SI1MKA4E25,"Equipment Delivery by Siemens - Generator Skids MKA",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,29/09/2018,01/08/2018,29/09/2018,01/08/2018,"A1010 FS","A1010","10MKF10 SS,10MKA1020 FS,10MKF10 FS","10MKF10,10MKA1020,10MKF10",165,193,165,193,38,45,38,45,37,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,2,0.0000000725,0.0246185148,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0061538462,0.000109375,0.0631853786,0.0006435006,0.0,1.0,0.0
1.3.2.1-31,SI1BAT4-25,"Equipment Delivery by Siemens - Main Transformer BAT",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,15/05/2018,05/05/2018,15/05/2018,05/05/2018,"A1010 FS","A1010","10BAT10 FS","10BAT10",145,181,145,181,34,42,34,42,28,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,1,0.0000000207,0.0107833164,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0030769231,0.00003125,0.0276762402,0.0006435006,0.0,1.0,0.0
1.3.2.1-32,SI1MBA4-25,"Equipment Delivery by Siemens - Gas Turbine MB",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,26/04/2018,27/03/2018,26/04/2018,27/03/2018,"A1010 FS","A1010","10MBA1060 FS","10MBA1060",143,175,143,175,33,40,33,40,26,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,1,0.0000003312,0.0164801628,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0030769231,0.0005,0.0422976501,0.0006435006,0.0,1.0,0.0
1.3.2.1-33,SI1HA-4C40,"Equipment Delivery by Siemens - HRSG Modules",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,26/04/2018,30/03/2018,26/04/2018,30/03/2018,"A1010 FS","A1010","HRS10.1060 FS","HRS10.1060",143,176,143,176,33,41,33,41,26,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,1,0.0000000138,0.0160732452,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0030769231,0.0000208333,0.0412532637,0.0006435006,0.0,1.0,0.0
1.3.2.1-34,SI1MAG4-40,"Equipment Delivery by Siemens - Steam Condenser MAG",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,02/04/2018,02/04/2018,02/04/2018,02/04/2018,"A1010 FS","A1010","A1620 FS,A1630 FS,KD_C04 FS","A1620,A1630,KD_C04",139,176,139,176,32,41,32,41,24,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,3,0.0000004968,0.108646999,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0092307692,0.00075,0.2788511749,0.0006435006,0.0,1.0,0.0
1.3.2.1-35,SI1MB-4E25,"Equipment Delivery by Siemens - Gas Turbine Auxiliaries MB",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,30/08/2018,31/07/2018,30/08/2018,31/07/2018,"A1010 FS","A1010","10MBA18-100 FS,10MBU10 FS,10MBH10 FS,10MBA4x10 FS,10MBN10 FS,10MBX05 FS,00MBU10 FS,10MBV1090 FS,10MBP20 FS,10MBV1000 FS,10MBA1020 FS,TOP1300 FS,10MBX2x05 FS,10MBA5x05 FS","10MBA18-100,10MBU10,10MBH10,10MBA4x10,10MBN10,10MBX05,00MBU10,10MBV1090,10MBP20,10MBV1000,10MBA1020,TOP1300,10MBX2x05,10MBA5x05",161,193,161,193,37,45,37,45,35,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,14,0.0000006901,0.0392675483,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0430769231,0.0010416667,0.1007832898,0.0006435006,0.0,1.0,0.0
1.3.2.1-36,SI1MBL4-40,"Equipment Delivery by Siemens - GT Air Intake System MBL",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,23/03/2018,31/03/2018,23/03/2018,31/03/2018,"A1010 FS","A1010","10MBL1000 FS","10MBL1000",138,176,138,176,32,41,32,41,23,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,1,0.0000000345,0.0170905392,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0030769231,0.0000520833,0.0438642298,0.0006435006,0.0,1.0,0.0
1.3.2.1-37,SI1MPB4E25,"Equipment Delivery by Siemens - GT Enclosure Incl. Ventilation MPB/SAM",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,01/03/2018,22/02/2018,01/03/2018,22/02/2018,"A1010 FS","A1010","10MBA1067 FS","10MBA1067",135,170,135,170,31,39,31,39,21,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,1,0.000000176,0.0059003052,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0030769231,0.000265625,0.0151436031,0.0006435006,0.0,1.0,0.0
1.3.2.1-38,SI1MA-4-59,"Equipment Delivery by Siemens - Steam Turbine MA- (HP/IP) AUX. (Incl. FCA)",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,30/08/2018,31/07/2018,30/08/2018,31/07/2018,"A1010 FS","A1010","10MA-1150 FS","10MA-1150",161,193,161,193,37,45,37,45,35,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,1,0.0000000828,0.0671414039,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0030769231,0.000125,0.1723237598,0.0006435006,0.0,1.0,0.0
1.3.2.1-39,SI1MAD4-25,"Equipment Delivery by Siemens - Steam Turbine Bearings MAD",7112,"CCGTD1_IPS",TT_Mile,"58319",-,-,-,100,TK_Complete,01/03/2018,09/01/2018,01/03/2018,09/01/2018,"A1010 FS","A1010","10MA-1150 FS","10MA-1150",135,164,135,164,31,38,31,38,21,,"CCGT D1_Integrated Programme Schedule;M&E;Procurement;CLP Deliverables",1,1,0.0000000828,0.0671414039,0.0002034588,0,1.0,0.0000812387,0.0068493151,0.0030769231,0.000125,0.1723237598,0.0006435006,0.0,1.0,0.0
